City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
628,Llano%20Largo,PA,77.36,7.9,-80.4333,Paradise Resort Hotel
632,Mazagao,BR,80.6,-0.115,-51.2894,Recanto dos Ferreiras
645,Makakilo%20City,US,80.6,21.3469,-158.0858,Marriott's Ko Olina Beach Club
650,Dao,PH,81.18,11.3937,122.6856,Mr. Rolando Tolores Jr.
652,Ahuimanu,US,77.0,21.4447,-157.8378,Paradise Bay Resort
667,Pointe%20Michel,DM,77.56,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
668,Balikpapan,ID,78.8,-1.2675,116.8289,ibis Balikpapan
674,Pedernales,DO,76.23,18.0384,-71.744,Hotel Costa Marina
683,Sorong,ID,82.56,-0.8833,131.25,The Waigo Hotel
685,Lamu,KE,77.09,-2.2717,40.902,Lamu House
694,Laem%20Sing,TH,80.01,12.4816,102.0738,Laemsing Whitehouse Resort
698,Sawang%20Daen%20Din,TH,82.0,17.4753,103.4575,บ้านเจเน็ต คอมพิวเตอร์
700,Santa%20Fe,AR,78.01,-31.6333,-60.7,Conquistador Hotel
